Word,Frequency,Percentage
heartred,396,4.075331892559432
face,336,3.45785736338376
heart,315,3.2417412781722756
song,206,2.119995883503139
love,204,2.099413399197283
red,140,1.4407739014099001
zayne,128,1.317278995574766
sylus,127,1.306987753421838
smiling,101,1.0394154574457137
story,101,1.0394154574457137
main,94,0.9673767623752186
crying,92,0.946794278069363
heartgrowing,79,0.8130081300813009
beautiful,78,0.802716887928373
omg,73,0.7512606771637337
thank,68,0.6998044663990944
please,68,0.6998044663990944
barbie,62,0.6380570134815272
yes,61,0.6277657713285993
spotify,57,0.5866008027168879
good,57,0.5866008027168879
update,53,0.5454358341051765
back,53,0.5454358341051765
hearteyessmiling,51,0.5248533497993207
infold,46,0.4733971390346815
tears,45,0.46310589688175363
holding,44,0.45281465472882576
heartsparkling,43,0.4425234125758979
finally,41,0.42194092827004215
game,40,0.4116496861171143
vibes,40,0.4116496861171143
loudly,38,0.39106720181125865
need,36,0.3704847175054029
hearteyes,36,0.3704847175054029
new,34,0.3499022331995472
cant,34,0.3499022331995472
two,33,0.33961099104661935
blue,33,0.33961099104661935
hands,33,0.33961099104661935
god,32,0.3293197488936915
taylor,32,0.3293197488936915
hearts,32,0.3293197488936915
giving,31,0.3190285067407636
open,30,0.30873726458783574
amazing,29,0.29844602243490786
music,29,0.29844602243490786
spring,29,0.29844602243490786
feel,28,0.28815478028198
faceloudly,28,0.28815478028198
excited,27,0.2778635381290522
skin,27,0.2778635381290522
singer,26,0.2675722959761243
know,26,0.2675722959761243
heartssmiling,25,0.2572810538231965
happy,25,0.2572810538231965
voice,24,0.2469898116702686
sounds,23,0.23669856951734075
lets,23,0.23669856951734075
heartlight,23,0.23669856951734075
light,23,0.23669856951734075
looks,22,0.22640732736441288
swift,22,0.22640732736441288
joy,21,0.216116085211485
cool,21,0.216116085211485
lads,21,0.216116085211485
eyes,21,0.216116085211485
gun,20,0.20582484305855714
action,20,0.20582484305855714
eyessmiling,20,0.20582484305855714
want,20,0.20582484305855714
snowcrow,20,0.20582484305855714
hope,19,0.19553360090562932
vibe,19,0.19553360090562932
dawnbreaker,19,0.19553360090562932
put,19,0.19553360090562932
wow,19,0.19553360090562932
got,18,0.18524235875270145
songs,18,0.18524235875270145
feels,18,0.18524235875270145
banner,17,0.1749511165997736
girlies,17,0.1749511165997736
come,17,0.1749511165997736
facered,17,0.1749511165997736
hand,17,0.1749511165997736
mouthface,17,0.1749511165997736
dont,16,0.16465987444684574
hello,16,0.16465987444684574
mouth,16,0.16465987444684574
blossomcherry,16,0.16465987444684574
makes,16,0.16465987444684574
thought,16,0.16465987444684574
thanks,15,0.15436863229391787
reminds,15,0.15436863229391787
disney,15,0.15436863229391787
deepspace,15,0.15436863229391787
ive,15,0.15436863229391787
man,14,0.14407739014099
heartsmiling,14,0.14407739014099
ready,14,0.14407739014099
whole,14,0.14407739014099
event,14,0.14407739014099
listen,14,0.14407739014099
day,13,0.13378614798806215
movie,13,0.13378614798806215
cherry,13,0.13378614798806215
favorite,13,0.13378614798806215
floor,13,0.13378614798806215
boys,13,0.13378614798806215
release,12,0.1234949058351343
beautifulbeautiful,12,0.1234949058351343
youre,12,0.1234949058351343
heartstwo,12,0.1234949058351343
diamond,12,0.1234949058351343
yesss,12,0.1234949058351343
look,12,0.1234949058351343
mains,12,0.1234949058351343
hear,12,0.1234949058351343
actually,12,0.1234949058351343
life,12,0.1234949058351343
car,12,0.1234949058351343
tone,12,0.1234949058351343
listening,12,0.1234949058351343
always,12,0.1234949058351343
right,12,0.1234949058351343
blowing,12,0.1234949058351343
best,12,0.1234949058351343
bgm,12,0.1234949058351343
outfits,11,0.11320366368220644
thats,11,0.11320366368220644
gonna,11,0.11320366368220644
yeah,11,0.11320366368220644
blossom,11,0.11320366368220644
made,11,0.11320366368220644
version,11,0.11320366368220644
making,11,0.11320366368220644
handsfolded,11,0.11320366368220644
caleb,11,0.11320366368220644
princess,11,0.11320366368220644
thinking,11,0.11320366368220644
sparkling,11,0.11320366368220644
fire,11,0.11320366368220644
getting,11,0.11320366368220644
play,11,0.11320366368220644
let,11,0.11320366368220644
rafayel,11,0.11320366368220644
castle,10,0.10291242152927857
xavier,10,0.10291242152927857
wait,10,0.10291242152927857
feeling,10,0.10291242152927857
hot,10,0.10291242152927857
girl,10,0.10291242152927857
add,10,0.10291242152927857
literally,10,0.10291242152927857
tinkerbell,10,0.10291242152927857
believe,10,0.10291242152927857
sooo,10,0.10291242152927857
zaynes,10,0.10291242152927857
damn,10,0.10291242152927857
hearing,10,0.10291242152927857
ost,10,0.10291242152927857
agree,10,0.10291242152927857
thing,10,0.10291242152927857
kissface,10,0.10291242152927857
take,10,0.10291242152927857
gives,10,0.10291242152927857
already,10,0.10291242152927857
grinning,10,0.10291242152927857
going,10,0.10291242152927857
holy,9,0.09262117937635073
lot,9,0.09262117937635073
laughingrolling,9,0.09262117937635073
apple,9,0.09262117937635073
another,9,0.09262117937635073
nostalgic,9,0.09262117937635073
definitely,9,0.09262117937635073
everything,9,0.09262117937635073
badass,9,0.09262117937635073
squinting,9,0.09262117937635073
early,9,0.09262117937635073
opens,9,0.09262117937635073
something,9,0.09262117937635073
theme,9,0.09262117937635073
fireheart,9,0.09262117937635073
sweet,9,0.09262117937635073
keep,9,0.09262117937635073
party,9,0.09262117937635073
clapping,9,0.09262117937635073
favourite,8,0.08232993722342287
side,8,0.08232993722342287
joyface,8,0.08232993722342287
era,8,0.08232993722342287
ever,8,0.08232993722342287
bro,8,0.08232993722342287
didnt,8,0.08232993722342287
perfect,8,0.08232993722342287
singing,8,0.08232993722342287
tho,8,0.08232993722342287
top,8,0.08232993722342287
handsclapping,8,0.08232993722342287
pls,8,0.08232993722342287
screaming,8,0.08232993722342287
fresh,8,0.08232993722342287
masterpiece,8,0.08232993722342287
flower,8,0.08232993722342287
old,8,0.08232993722342287
facetwo,8,0.08232993722342287
waiting,8,0.08232993722342287
dream,8,0.08232993722342287
birthday,7,0.072038695070495
facesparkling,7,0.072038695070495
facesmiling,7,0.072038695070495
give,7,0.072038695070495
feelings,7,0.072038695070495
never,7,0.072038695070495
wedding,7,0.072038695070495
true,7,0.072038695070495
repeat,7,0.072038695070495
miss,7,0.072038695070495
outfit,7,0.072038695070495
heard,7,0.072038695070495
say,7,0.072038695070495
sweat,7,0.072038695070495
popperparty,7,0.072038695070495
home,7,0.072038695070495
banger,7,0.072038695070495
hearteyesred,7,0.072038695070495
husband,7,0.072038695070495
lovely,7,0.072038695070495
husbands,7,0.072038695070495
meet,7,0.072038695070495
still,7,0.072038695070495
woman,7,0.072038695070495
mind,7,0.072038695070495
cute,7,0.072038695070495
pleading,7,0.072038695070495
lol,7,0.072038695070495
great,7,0.072038695070495
ill,7,0.072038695070495
almost,7,0.072038695070495
swifts,7,0.072038695070495
little,7,0.072038695070495
loved,6,0.06174745291756715
probably,6,0.06174745291756715
2000s,6,0.06174745291756715
hell,6,0.06174745291756715
live,6,0.06174745291756715
girlie,6,0.06174745291756715
wish,6,0.06174745291756715
leather,6,0.06174745291756715
immediately,6,0.06174745291756715
soothing,6,0.06174745291756715
heartpurple,6,0.06174745291756715
freaking,6,0.06174745291756715
crazy,6,0.06174745291756715
growing,6,0.06174745291756715
whos,6,0.06174745291756715
cards,6,0.06174745291756715
tearsface,6,0.06174745291756715
refreshing,6,0.06174745291756715
men,6,0.06174745291756715
imagine,6,0.06174745291756715
flowers,6,0.06174745291756715
hes,6,0.06174745291756715
melting,6,0.06174745291756715
exciting,6,0.06174745291756715
cry,6,0.06174745291756715
peeking,6,0.06174745291756715
alive,6,0.06174745291756715
seeing,6,0.06174745291756715
firefirefire,6,0.06174745291756715
pretty,6,0.06174745291756715
lyrics,6,0.06174745291756715
romantic,6,0.06174745291756715
way,6,0.06174745291756715
scene,6,0.06174745291756715
every,6,0.06174745291756715
cooked,5,0.051456210764639285
dropped,5,0.051456210764639285
pleaseeee,5,0.051456210764639285
heartheart,5,0.051456210764639285
walking,5,0.051456210764639285
yessss,5,0.051456210764639285
wanted,5,0.051456210764639285
popper,5,0.051456210764639285
available,5,0.051456210764639285
sorry,5,0.051456210764639285
ahhhhh,5,0.051456210764639285
playing,5,0.051456210764639285
free,5,0.051456210764639285
infinity,5,0.051456210764639285
yess,5,0.051456210764639285
saw,5,0.051456210764639285
wont,5,0.051456210764639285
better,5,0.051456210764639285
find,5,0.051456210764639285
brings,5,0.051456210764639285
folded,5,0.051456210764639285
fine,5,0.051456210764639285
okay,5,0.051456210764639285
long,5,0.051456210764639285
team,5,0.051456210764639285
looking,5,0.051456210764639285
birdblack,5,0.051456210764639285
mouthred,5,0.051456210764639285
soundtrack,5,0.051456210764639285
que,5,0.051456210764639285
happening,5,0.051456210764639285
ngl,5,0.051456210764639285
mcs,5,0.051456210764639285
movies,5,0.051456210764639285
yet,5,0.051456210764639285
everyone,5,0.051456210764639285
facefolded,5,0.051456210764639285
memories,5,0.051456210764639285
wonder,5,0.051456210764639285
firefire,5,0.051456210764639285
wick,5,0.051456210764639285
john,5,0.051456210764639285
head,5,0.051456210764639285
popperred,5,0.051456210764639285
sound,5,0.051456210764639285
world,5,0.051456210764639285
similar,5,0.051456210764639285
winx,5,0.051456210764639285
club,5,0.051456210764639285
songred,5,0.051456210764639285
fast,5,0.051456210764639285
furious,5,0.051456210764639285
real,5,0.051456210764639285
chase,5,0.051456210764639285
daddy,5,0.051456210764639285
full,5,0.051456210764639285
far,5,0.051456210764639285
nice,5,0.051456210764639285
jacket,5,0.051456210764639285
tear,5,0.051456210764639285
many,5,0.051456210764639285
stop,5,0.051456210764639285
guys,5,0.051456210764639285
coming,5,0.051456210764639285
duo,5,0.051456210764639285
lord,5,0.051456210764639285
awesome,5,0.051456210764639285
worth,5,0.051456210764639285
worshipsparkling,5,0.051456210764639285
ahhh,4,0.041164968611711435
place,4,0.041164968611711435
series,4,0.041164968611711435
halosmiling,4,0.041164968611711435
gave,4,0.041164968611711435
epic,4,0.041164968611711435
using,4,0.041164968611711435
gorgeous,4,0.041164968611711435
pulled,4,0.041164968611711435
shine,4,0.041164968611711435
since,4,0.041164968611711435
work,4,0.041164968611711435
enchanted,4,0.041164968611711435
theres,4,0.041164968611711435
loves,4,0.041164968611711435
ikr,4,0.041164968611711435
facepleading,4,0.041164968611711435
high,4,0.041164968611711435
inside,4,0.041164968611711435
wide,4,0.041164968611711435
last,4,0.041164968611711435
content,4,0.041164968611711435
canción,4,0.041164968611711435
musical,4,0.041164968611711435
laughing,4,0.041164968611711435
capital,4,0.041164968611711435
streaming,4,0.041164968611711435
maybe,4,0.041164968611711435
times,4,0.041164968611711435
bring,4,0.041164968611711435
omgggg,4,0.041164968611711435
must,4,0.041164968611711435
sure,4,0.041164968611711435
peak,4,0.041164968611711435
exactly,4,0.041164968611711435
tearsheart,4,0.041164968611711435
edits,4,0.041164968611711435
wanna,4,0.041164968611711435
sing,4,0.041164968611711435
warm,4,0.041164968611711435
needed,4,0.041164968611711435
raising,4,0.041164968611711435
part,4,0.041164968611711435
lowkey,4,0.041164968611711435
phone,4,0.041164968611711435
64bit,4,0.041164968611711435
someone,4,0.041164968611711435
kiss,4,0.041164968611711435
theyre,4,0.041164968611711435
lis,4,0.041164968611711435
suit,4,0.041164968611711435
save,4,0.041164968611711435
single,4,0.041164968611711435
pleaseeeeee,4,0.041164968611711435
mediumlight,4,0.041164968611711435
quality,4,0.041164968611711435
character,4,0.041164968611711435
read,4,0.041164968611711435
gets,4,0.041164968611711435
male,4,0.041164968611711435
came,4,0.041164968611711435
fed,4,0.041164968611711435
eating,4,0.041164968611711435
addicted,4,0.041164968611711435
glad,4,0.041164968611711435
might,4,0.041164968611711435
inner,4,0.041164968611711435
driving,4,0.041164968611711435
branch,4,0.041164968611711435
fun,4,0.041164968611711435
facepartying,4,0.041164968611711435
crow,4,0.041164968611711435
cannot,4,0.041164968611711435
soon,4,0.041164968611711435
zaddy,4,0.041164968611711435
eyeface,4,0.041164968611711435
surprised,4,0.041164968611711435
tell,4,0.041164968611711435
sooooo,4,0.041164968611711435
lagu,4,0.041164968611711435
heartplace,4,0.041164968611711435
different,3,0.030873726458783574
kinda,3,0.030873726458783574
youll,3,0.030873726458783574
went,3,0.030873726458783574
purple,3,0.030873726458783574
handsraising,3,0.030873726458783574
stream,3,0.030873726458783574
brain,3,0.030873726458783574
album,3,0.030873726458783574
handsred,3,0.030873726458783574
heartsred,3,0.030873726458783574
journey,3,0.030873726458783574
continue,3,0.030873726458783574
trailer,3,0.030873726458783574
person,3,0.030873726458783574
tonered,3,0.030873726458783574
2010,3,0.030873726458783574
year,3,0.030873726458783574
strong,3,0.030873726458783574
rise,3,0.030873726458783574
sunshine,3,0.030873726458783574
fell,3,0.030873726458783574
big,3,0.030873726458783574
line,3,0.030873726458783574
fav,3,0.030873726458783574
faceflushed,3,0.030873726458783574
facegrinning,3,0.030873726458783574
whoever,3,0.030873726458783574
field,3,0.030873726458783574
goooooo,3,0.030873726458783574
firefirefirelight,3,0.030873726458783574
incredible,3,0.030873726458783574
soooo,3,0.030873726458783574
platforms,3,0.030873726458783574
faceface,3,0.030873726458783574
notes,3,0.030873726458783574
hate,3,0.030873726458783574
dev,3,0.030873726458783574
figure,3,0.030873726458783574
diaries,3,0.030873726458783574
bit,3,0.030873726458783574
coded,3,0.030873726458783574
bell,3,0.030873726458783574
tinker,3,0.030873726458783574
vocal,3,0.030873726458783574
shit,3,0.030873726458783574
sharing,3,0.030873726458783574
missed,3,0.030873726458783574
sexy,3,0.030873726458783574
bad,3,0.030873726458783574
away,3,0.030873726458783574
hoping,3,0.030873726458783574
standing,3,0.030873726458783574
second,3,0.030873726458783574
deserve,3,0.030873726458783574
listened,3,0.030873726458783574
beloved,3,0.030873726458783574
insane,3,0.030873726458783574
sings,3,0.030873726458783574
gak,3,0.030873726458783574
country,3,0.030873726458783574
totally,3,0.030873726458783574
felt,3,0.030873726458783574
sang,3,0.030873726458783574
grind,3,0.030873726458783574
wallet,3,0.030873726458783574
done,3,0.030873726458783574
faceheart,3,0.030873726458783574
emotional,3,0.030873726458783574
reminding,3,0.030873726458783574
blessed,3,0.030873726458783574
absolute,3,0.030873726458783574
child,3,0.030873726458783574
eyesred,3,0.030873726458783574
days,3,0.030873726458783574
combat,3,0.030873726458783574
dying,3,0.030873726458783574
meeeee,3,0.030873726458783574
cinema,3,0.030873726458783574
beginning,3,0.030873726458783574
childhood,3,0.030873726458783574
cover,3,0.030873726458783574
fuck,3,0.030873726458783574
end,3,0.030873726458783574
adventure,3,0.030873726458783574
goodred,3,0.030873726458783574
canon,3,0.030873726458783574
healing,3,0.030873726458783574
animations,3,0.030873726458783574
ohhh,3,0.030873726458783574
today,3,0.030873726458783574
nikki,3,0.030873726458783574
perfection,3,0.030873726458783574
tearspink,3,0.030873726458783574
heartblack,3,0.030873726458783574
guitar,3,0.030873726458783574
fits,3,0.030873726458783574
vocalist,3,0.030873726458783574
rolling,3,0.030873726458783574
moly,3,0.030873726458783574
mans,3,0.030873726458783574
reminded,3,0.030873726458783574
telling,3,0.030873726458783574
hard,3,0.030873726458783574
btw,3,0.030873726458783574
summer,3,0.030873726458783574
facemelting,3,0.030873726458783574
events,3,0.030873726458783574
ohh,3,0.030873726458783574
broke,3,0.030873726458783574
aaaa,3,0.030873726458783574
could,3,0.030873726458783574
karaoke,3,0.030873726458783574
wondering,3,0.030873726458783574
rerun,3,0.030873726458783574
beautifull,3,0.030873726458783574
arent,3,0.030873726458783574
may,3,0.030873726458783574
heartsparklesblack,3,0.030873726458783574
attack,3,0.030873726458783574
fan,3,0.030873726458783574
together,3,0.030873726458783574
lover,3,0.030873726458783574
aaaaaaa,3,0.030873726458783574
handok,3,0.030873726458783574
curious,3,0.030873726458783574
super,3,0.030873726458783574
agreed,3,0.030873726458783574
fingers,3,0.030873726458783574
help,3,0.030873726458783574
name,3,0.030873726458783574
32bit,3,0.030873726458783574
next,3,0.030873726458783574
dark,3,0.030873726458783574
youtube,3,0.030873726458783574
use,3,0.030873726458783574
smile,3,0.030873726458783574
playlist,3,0.030873726458783574
nostalgia,3,0.030873726458783574
ahhhh,3,0.030873726458783574
plus,3,0.030873726458783574
card,3,0.030873726458783574
loving,3,0.030873726458783574
daddies,3,0.030873726458783574
watching,3,0.030873726458783574
facegrowing,3,0.030873726458783574
support,3,0.030873726458783574
shes,3,0.030873726458783574
power,3,0.030873726458783574
hold,3,0.030873726458783574
mine,3,0.030873726458783574
fight,3,0.030873726458783574
doctor,3,0.030873726458783574
plot,3,0.030873726458783574
lead,3,0.030873726458783574
pleaseee,3,0.030873726458783574
living,3,0.030873726458783574
aaaah,3,0.030873726458783574
hopefully,3,0.030873726458783574
updates,3,0.030873726458783574
shooting,3,0.030873726458783574
sarah,3,0.030873726458783574
ribbon,3,0.030873726458783574
ini,3,0.030873726458783574
wry,3,0.030873726458783574
yayyyy,2,0.020582484305855717
smilecat,2,0.020582484305855717
suka,2,0.020582484305855717
mark,2,0.020582484305855717
props,2,0.020582484305855717
set,2,0.020582484305855717
simple,2,0.020582484305855717
yall,2,0.020582484305855717
mafia,2,0.020582484305855717
started,2,0.020582484305855717
zaynesylus,2,0.020582484305855717
green,2,0.020582484305855717
visiting,2,0.020582484305855717
friends,2,0.020582484305855717
fearless,2,0.020582484305855717
releasing,2,0.020582484305855717
90s,2,0.020582484305855717
send,2,0.020582484305855717
tearsred,2,0.020582484305855717
pointshundred,2,0.020582484305855717
heartfire,2,0.020582484305855717
whatever,2,0.020582484305855717
solo,2,0.020582484305855717
fairy,2,0.020582484305855717
sign,2,0.020582484305855717
fighting,2,0.020582484305855717
animated,2,0.020582484305855717
faceweary,2,0.020582484305855717
affectionate,2,0.020582484305855717
uncomfortable,2,0.020582484305855717
isnt,2,0.020582484305855717
fairies,2,0.020582484305855717
storage,2,0.020582484305855717
2025,2,0.020582484305855717
zylus,2,0.020582484305855717
key,2,0.020582484305855717
def,2,0.020582484305855717
facewinking,2,0.020582484305855717
chapters,2,0.020582484305855717
youve,2,0.020582484305855717
unexpected,2,0.020582484305855717
speechless,2,0.020582484305855717
heartsparkles,2,0.020582484305855717
easily,2,0.020582484305855717
pulling,2,0.020582484305855717
facehot,2,0.020582484305855717
catch,2,0.020582484305855717
become,2,0.020582484305855717
sad,2,0.020582484305855717
loop,2,0.020582484305855717
fans,2,0.020582484305855717
background,2,0.020582484305855717
songface,2,0.020582484305855717
ingame,2,0.020582484305855717
opened,2,0.020582484305855717
yessssss,2,0.020582484305855717
plz,2,0.020582484305855717
pleasee,2,0.020582484305855717
knowing,2,0.020582484305855717
thriving,2,0.020582484305855717
self,2,0.020582484305855717
wth,2,0.020582484305855717
handsome,2,0.020582484305855717
myth,2,0.020582484305855717
jesus,2,0.020582484305855717
job,2,0.020582484305855717
mew,2,0.020582484305855717
banget,2,0.020582484305855717
deserves,2,0.020582484305855717
lores,2,0.020582484305855717
kids,2,0.020582484305855717
reading,2,0.020582484305855717
stories,2,0.020582484305855717
bop,2,0.020582484305855717
lyric,2,0.020582484305855717
fluffy,2,0.020582484305855717
gooooo,2,0.020582484305855717
opening,2,0.020582484305855717
comments,2,0.020582484305855717
download,2,0.020582484305855717
app,2,0.020582484305855717
laptop,2,0.020582484305855717
mp3,2,0.020582484305855717
forever,2,0.020582484305855717
cafe,2,0.020582484305855717
truly,2,0.020582484305855717
episodes,2,0.020582484305855717
ahhhhhhh,2,0.020582484305855717
doesnt,2,0.020582484305855717
goooo,2,0.020582484305855717
upcoming,2,0.020582484305855717
aka,2,0.020582484305855717
themes,2,0.020582484305855717
girly,2,0.020582484305855717
tbh,2,0.020582484305855717
dancing,2,0.020582484305855717
romance,2,0.020582484305855717
wonderful,2,0.020582484305855717
banyak,2,0.020582484305855717
soong,2,0.020582484305855717
enough,2,0.020582484305855717
double,2,0.020582484305855717
dua,2,0.020582484305855717
crossed,2,0.020582484305855717
thumb,2,0.020582484305855717
finger,2,0.020582484305855717
index,2,0.020582484305855717
sparklesblack,2,0.020582484305855717
said,2,0.020582484305855717
idk,2,0.020582484305855717
poor,2,0.020582484305855717
28th,2,0.020582484305855717
dropping,2,0.020582484305855717
upthumbs,2,0.020582484305855717
gracias,2,0.020582484305855717
upload,2,0.020582484305855717
sunglasses,2,0.020582484305855717
express,2,0.020582484305855717
cat,2,0.020582484305855717
musics,2,0.020582484305855717
heartface,2,0.020582484305855717
body,2,0.020582484305855717
reset,2,0.020582484305855717
farm,2,0.020582484305855717
morning,2,0.020582484305855717
perfectly,2,0.020582484305855717
anyone,2,0.020582484305855717
heartblue,2,0.020582484305855717
boy,2,0.020582484305855717
raised,2,0.020582484305855717
toneraising,2,0.020582484305855717
soft,2,0.020582484305855717
victory,2,0.020582484305855717
guaranteed,2,0.020582484305855717
jaw,2,0.020582484305855717
joyred,2,0.020582484305855717
sweatface,2,0.020582484305855717
worked,2,0.020582484305855717
wholesome,2,0.020582484305855717
bgms,2,0.020582484305855717
shop,2,0.020582484305855717
spend,2,0.020582484305855717
money,2,0.020582484305855717
points,2,0.020582484305855717
comes,2,0.020582484305855717
mama,2,0.020582484305855717
bday,2,0.020582484305855717
worship,2,0.020582484305855717
worshipplace,2,0.020582484305855717
beautifulloudly,2,0.020582484305855717
fireworks,2,0.020582484305855717
nikkis,2,0.020582484305855717
comfort,2,0.020582484305855717
whats,2,0.020582484305855717
005,2,0.020582484305855717
space,2,0.020582484305855717
current,2,0.020582484305855717
taylors,2,0.020582484305855717
style,2,0.020582484305855717
speak,2,0.020582484305855717
pair,2,0.020582484305855717
black,2,0.020582484305855717
awaited,2,0.020582484305855717
omfg,2,0.020582484305855717
omgloudly,2,0.020582484305855717
2010s,2,0.020582484305855717
baby,2,0.020582484305855717
dawn,2,0.020582484305855717
omggg,2,0.020582484305855717
weary,2,0.020582484305855717
eye,2,0.020582484305855717
brought,2,0.020582484305855717
attention,2,0.020582484305855717
villain,2,0.020582484305855717
played,2,0.020582484305855717
genuinely,2,0.020582484305855717
sylusred,2,0.020582484305855717
ballconfetti,2,0.020582484305855717
process,2,0.020582484305855717
screen,2,0.020582484305855717
ass,2,0.020582484305855717
hahaha,2,0.020582484305855717
stuff,2,0.020582484305855717
timeline,2,0.020582484305855717
boyssss,2,0.020582484305855717
lore,2,0.020582484305855717
imo,2,0.020582484305855717
fucking,2,0.020582484305855717
somehow,2,0.020582484305855717
beg,2,0.020582484305855717
composed,2,0.020582484305855717
pure,2,0.020582484305855717
arrow,2,0.020582484305855717
drop,2,0.020582484305855717
keeps,2,0.020582484305855717
weve,2,0.020582484305855717
relieved,2,0.020582484305855717
winning,2,0.020582484305855717
absolutely,2,0.020582484305855717
least,2,0.020582484305855717
dead,2,0.020582484305855717
anime,2,0.020582484305855717
anyway,2,0.020582484305855717
expect,2,0.020582484305855717
artist,2,0.020582484305855717
mood,2,0.020582484305855717
omgg,2,0.020582484305855717
youred,2,0.020582484305855717
muchloudly,2,0.020582484305855717
tonesparkles,2,0.020582484305855717
muchh,2,0.020582484305855717
tonefolded,2,0.020582484305855717
023,2,0.020582484305855717
asap,2,0.020582484305855717
healed,2,0.020582484305855717
speaking,2,0.020582484305855717
whenever,2,0.020582484305855717
changing,2,0.020582484305855717
lmfao,2,0.020582484305855717
soooooo,2,0.020582484305855717
flying,2,0.020582484305855717
rafael,2,0.020582484305855717
haha,2,0.020582484305855717
disneybarbie,2,0.020582484305855717
closed,2,0.020582484305855717
catch22,2,0.020582484305855717
audience,2,0.020582484305855717
boaf,2,0.020582484305855717
favorites,2,0.020582484305855717
white,2,0.020582484305855717
sparkles,2,0.020582484305855717
friend,2,0.020582484305855717
arc,2,0.020582484305855717
run,2,0.020582484305855717
stronger,2,0.020582484305855717
bright,2,0.020582484305855717
hermosa,2,0.020582484305855717
company,2,0.020582484305855717
pink,2,0.020582484305855717
clearly,2,0.020582484305855717
thoughts,2,0.020582484305855717
righttt,2,0.020582484305855717
fluff,2,0.020582484305855717
handsgrowing,2,0.020582484305855717
guide,2,0.020582484305855717
enjoy,2,0.020582484305855717
husbando,2,0.020582484305855717
zaylus,2,0.020582484305855717
peace,2,0.020582484305855717
boss,2,0.020582484305855717
nonstop,2,0.020582484305855717
itunes,2,0.020582484305855717
